INSTNM	ADDR	CITY	STABBR	ZIP	LONGITUD	LATITUDE										
George Fox University	414 N Meridian St	Newberg	OR	97132	-122.968394	45.30399										
Institute of Technology Inc	4700 Silverton Road NE	Salem	OR	97305	-122.966655	44.969947										
Centralia College	600 Centralia College Blvd.	Centralia	WA	98531	-122.960746	46.716302										
Corban University	5000 Deer Park Dr SE	Salem	OR	97317	-122.958413	44.88408										
Lower Columbia College	1600 Maple Street	Longview	WA	98632	-122.937653	46.1428										
Stylemaster College of Hair Design	1224 Commerce Ave.	Longview	WA	98632	-122.934826	46.135905										
South Puget Sound Community College	2011 Mottman Rd SW	Olympia	WA	98512	-122.929405	47.023472										
Phagans Medford Beauty School	2320 Poplar Dr	Medford	OR	97504	-122.87103	42.351942										
Abdill Career College Inc	843 E Main Ste 203	Medford	OR	97504	-122.863924	42.328085										
Anthem College-Portland	4145 SW Watson Ave-Ste 300	Beaverton	OR	97005	-122.806602	45.489836										
Northwest College-Beaverton	4200 SW Watson Ave	Beaverton	OR	97005	-122.805791	45.48933										
Mount Angel Seminary	1 Abbey Dr	Saint Benedict	OR	97373	-122.775405	45.057871										
Pioneer Pacific College	27501 SW Parkway Ave	Wilsonville	OR	97070	-122.76826	45.321099										
Phagans Tigard Beauty School	8820 SW Center	Tigard	OR	97223	-122.766574	45.433994										
Northwest College-Tualatin	8345 South West Nyberg Road	Tualatin	OR	97062	-122.762374	45.382921										
Oregon College of Art and Craft	8245 SW Barnes Rd	Portland	OR	97225	-122.760915	45.510599										
Lytles Redwood Empire Beauty College Inc	186 Wikiup Dr	Santa Rosa	CA	95403	-122.758546	38.508581										
Northwest School of Wooden Boat Building	42 N Water St	Port Hadlock	WA	98339	-122.752581	48.03403										
National American University-Tigard	13333 South West 68th Parkway Suite 010	Tigard	OR	97223	-122.745721	45.422669										
Portland Community College	12000 SW 49th Avenue	Portland	OR	97219	-122.731447	45.438722										
Empire College School of Business	3035 Cleveland Ave	Santa Rosa	CA	95403	-122.728642	38.467789										
University of Portland	5000 N Willamette Blvd	Portland	OR	97203	-122.726859	45.571807										
