INSTNM	ADDR	CITY	STABBR	ZIP	LONGITUD	LATITUDE										
Dakota Wesleyan University	1200 W University Ave	Mitchell	SD	57301	-98.030566	43.695995										
Mitchell Technical Institute	1800 E. Spruce Street	Mitchell	SD	57301	-98.009268	43.687671										
Valley City State University	101 College St SW	Valley City	ND	58072	-98.001762	46.919144										
Red River Technology Center	3300 W Bois D Arc	Duncan	OK	73533	-97.990494	34.491121										
Texas Lutheran University	1000 W. Court St	Seguin	TX	78155	-97.984601	29.573274										
Redlands Community College	1300 S Country Club Rd	El Reno	OK	73036	-97.974592	35.518475										
South Texas Vo-Tech Institute	2419 E Haggar Ave	Weslaco	TX	78596	-97.965229	26.171555										
Seguin Beauty School-Seguin	102 E Court St	Seguin	TX	78155	-97.964447	29.569092										
Advanced Barber College and Hair Design	2818 S International	Weslaco	TX	78596	-97.958247	26.131543										
University of Science and Arts of Oklahoma	17th Street and Grand Avenue	Chickasha	OK	73018	-97.95641	35.031392										
Texas State University	601 University Dr	San Marcos	TX	78666	-97.936392	29.889202										
Hutchinson Community College	1300 N Plum St	Hutchinson	KS	67501	-97.919647	38.066843										
Sidneys Hair Dressing College	200 E. 3rd	Hutchinson	KS	67501	-97.91256	38.057048										
Autry Technology Center	1201 W Willow	Enid	OK	73703	-97.89719	36.419122										
Texas A & M University-Kingsville	955 University Blvd	Kingsville	TX	78363	-97.882342	27.524852										
Canadian Valley Technology Center	6505 E Hwy 66	El Reno	OK	73036	-97.881967	35.509208										
Enid Beauty College	3905 S. La Mesa Drive	Enid	OK	73703	-97.854962	36.396929										
Gemini School of Visual Arts & Communication	501 Prize Oaks Drive	Cedar Park	TX	78613	-97.846121	30.50915										
Allied Health Careers	5424 Hwy 290 W Ste 105	Austin	TX	78735	-97.839328	30.237691										
Southwest Institute of Technology	5424 Hwy 290 W Ste 214	Austin	TX	78735	-97.839225	30.237528										
Concordia University-Texas	11400 Concordia University Dr.	Austin	TX	78726	-97.836247	30.420952										
Central Texas College	6200 West Central Texas Expressway	Killeen	TX	76549	-97.809704	31.119054										
AOMA Graduate School of Integrative Medicine	4701 W Gate Blvd	Austin	TX	78745	-97.800641	30.22862										
Weatherford College	225 College Park Drive	Weatherford	TX	76086	-97.792652	32.740658										
Baldwin Beauty School-South Austin	3005 S Lamar	Austin	TX	78704	-97.783069	30.241667										
MediaTech Institute-Austin	4719 S. Congress Ave	Austin	TX	78745	-97.769241	30.21396										
Coastal Bend College	3800 Charco Rd	Beeville	TX	78102	-97.75632	28.435756										
South University-Austin	7700 W Palmer Ln Bldg A Ste A100	Austin	TX	78729	-97.751403	30.459476										
Southern Careers Institute-Austin	2301 S Congress Ste 27	Austin	TX	78704	-97.751369	30.239114										
Kussad Institute of Court Reporting	2800 South Ih35 Ste 110	Austin	TX	78704	-97.745192	30.228944										
Yukon Beauty College Inc	221 W. Main	Yukon	OK	73099	-97.745	35.507554										
Capitol City Trade and Technical School	205 E Riverside Dr	Austin	TX	78704	-97.744924	30.254874										
Paul Mitchell the School-Austin	9503 Research Blvd Building 3 Suite 310	Austin	TX	78759	-97.742121	30.38631										
Strayer University-Texas	8501 N. Mopac Expressway	Austin	TX	78759	-97.740231	30.37211										
Austin Presbyterian Theological Seminary	100 E 27th St	Austin	TX	78705	-97.737752	30.292635										
Episcopal Theological Seminary of the Southwest	501 E. 32nd St.	Austin	TX	78705	-97.73266	30.293097										
Avenue Five Institute	8620 Burnet Rd Ste 300	Austin	TX	78757	-97.727941	30.36865										
Auguste Escoffier School of Culinary Arts-Austin	6020-B Dillard Circle	Austin	TX	78752	-97.717872	30.32646										
Austin Graduate School of Theology	7640 Guadalupe St	Austin	TX	78752	-97.711706	30.343788										
Virginia College-Austin	6301 E Highway 290	Austin	TX	78723	-97.699883	30.32044										
Sanford-Brown College-Austin	9001 N IH-35 #105	Austin	TX	78753	-97.689729	30.354773										
Central Texas Beauty College-Round Rock	1400 N. Mays	Round Rock	TX	78664	-97.689509	30.519173										
University of Cosmetology Arts & Sciences-Harlingen	913 N 13th St	Harlingen	TX	78550	-97.683999	26.201127										
Austin Community College District	5930 Middle Fiskville Rd	Austin	TX	78752	-97.68172	30.333508										
Southern Careers Institute-Harlingen	603 Ed Carey Dr	Harlingen	TX	78550	-97.679221	26.16534										
Bethany College	335 E Swensson St	Lindsborg	KS	67456	-97.673173	38.5786										
Central State Massage Academy	8494 Northwest Expwy	Oklahoma City	OK	73162	-97.668551	35.569792										
Central State Beauty Academy	8494 Northwest Expressway	Oklahoma City	OK	73162	-97.667979	35.571541										
Central Christian College of Kansas	1200 S Main	McPherson	KS	67460	-97.667373	38.357964										
Texas State Technical College-Harlingen	1902 North Loop 499	Harlingen	TX	78550	-97.666348	26.219333										
Southwestern University	1001 University Ave	Georgetown	TX	78626	-97.664637	30.635194										
Cloud County Community College	2221 Campus Dr	Concordia	KS	66901	-97.664147	39.554199										
South Texas Training Center	1901 W Hwy 77	San Benito	TX	78586	-97.652261	26.137434										
McPherson College	1600 E Euclid	McPherson	KS	67460	-97.6443	38.371464										
Francis Tuttle Technology Center	12777 N Rockwell Ave	Oklahoma City	OK	73142	-97.640672	35.60052										
Salina Area Technical College	2562 Centennial Road	Salina	KS	67401	-97.637923	38.793775										
Southern Nazarene University	6729 NW 39th Expy	Bethany	OK	73008	-97.629504	35.513295										
Vatterott College-Oklahoma City	5537 NW Expressway	Warr Acres	OK	73132	-97.610871	35.54778										
Platt College-Central OKC	309 S Ann Arbor	Oklahoma City	OK	73128	-97.610378	35.462955										
Brown Mackie College-Salina	2106 South 9th Street	Salina	KS	67401	-97.609673	38.839827										
Kansas Wesleyan University	100 E. Claflin Ave.	Salina	KS	67401	-97.609476	38.813923										
Hays Academy of Hair Design	115 South 5th Street	Salina	KS	67401	-97.607551	38.8398										
Oklahoma State University-Oklahoma City	900 N Portland	Oklahoma City	OK	73107	-97.583291	35.475272										
York College	1125 E 8th St	York	NE	68467	-97.579285	40.867453										
Mid-America Christian University	3500 SW 119th St	Oklahoma City	OK	73170	-97.578297	35.347785										
Academy of Hair Design-Oklahoma City	11920 N May Ave	Oklahoma City	OK	73120	-97.564828	35.349359										
Platt College-North OKC	2727 W. Memorial Rd	Oklahoma City	OK	73134	-97.563751	35.611128										
Southern Careers Institute-Corpus Christi 2	9777 Leopard St	Corpus Christi	TX	78410	-97.556651	27.82848										
Oklahoma City University	2501 N Blackwelder	Oklahoma City	OK	73106	-97.541242	35.495271										
South Texas Vocational Technical Institute-Brownsville	2144 Central Blvd	Brownsville	TX	78520	-97.508351	25.93711										
Salon & Spa Institute	2695 North Coria Street	Brownsville	TX	78521	-97.507563	25.938984										
Southern Careers Institute-Brownsville	1424 W Price Rd Ste K	Brownsville	TX	78520	-97.498881	25.93501										
Oklahoma School of Photography	2306 N Moore Ave	Moore	OK	73160	-97.498091	35.3583										
University of Oklahoma-Health Sciences Center	1100 N Lindsay	Oklahoma City	OK	73104	-97.496289	35.47928										
Heritage College-Oklahoma City	7202 S. I-35 Service Road	Oklahoma City	OK	73149	-97.494276	35.395974										
The University of Texas at Brownsville	One West University Boulevard	Brownsville	TX	78520	-97.486644	25.893584										
Platt College-Moore	201 N. Eastern	Moore	OK	73160	-97.478449	35.339154										
Metro Technology Centers	1900 Springlake Drive	Oklahoma City	OK	73111	-97.478182	35.512549										
Hollywood Cosmetology Center	1708 W Lindsey	Norman	OK	73069	-97.466791	35.203764										
University of Mary Hardin-Baylor	900 College St	Belton	TX	76513	-97.463479	31.066798										
Moore Norman Technology Center	4701 12th Avenue NW	Norman	OK	73069	-97.457319	35.274434										
University of Oklahoma-Norman Campus	660 Parrington Oval	Norman	OK	73019	-97.445692	35.208152										
National American University-Wichita West	8428 West 13th Street North Suite 120	Wichita	KS	67212	-97.440061	37.70923										
American Broadcasting School-Online Program	4511 SE 29th St	Oklahoma City	OK	73115	-97.436906	35.435309										
American Broadcasting School-Oklahoma City	4511 SE 29th St	Oklahoma City	OK	73115	-97.436129	35.43527										
Fort Worth Beauty School	6785 Camp Bowie Blvd. Suite 100	Fort Worth	TX	76116	-97.434514	32.720626										
South Texas Vocational Technical Institute-Corpus Christi	2000 South Padre Island Dr	Corpus Christi	TX	78416	-97.433269	27.739649										
Hesston College	301 South Main	Hesston	KS	67062	-97.433266	38.134487										
Eric Fisher Academy	6727 W Central	Wichita	KS	67212	-97.421921	37.69385										
South Texas Barber College Inc	3917 Ayers	Corpus Christi	TX	78415	-97.41707	27.752904										
Rose State College	6420 S E 15th	Midwest City	OK	73110	-97.413925	35.444315										
Mount Marty College	1105 W. 8th Street	Yankton	SD	57078	-97.409904	42.874475										
Avera Sacred Heart Hospital	501 Summit	Yankton	SD	57078	-97.407865	42.872359										
Mid-Del Technology Center	1621 Maple Dr	Midwest City	OK	73110	-97.402578	35.455237										
Northeast Community College	801 E Benjamin	Norfolk	NE	68702	-97.397591	42.049301										
Xenon International Academy-Wichita	3804 W Douglas	Wichita	KS	67203	-97.387374	37.684374										
Central Texas Beauty College-Temple	2010 South 57th Street	Temple	TX	76504	-97.379163	31.084584										
Newman University	3100 McCormick Ave	Wichita	KS	67213	-97.378803	37.672306										
Wichita Technical Institute	2051 South Meridian	Wichita	KS	67213	-97.371819	37.656976										
Friends University	2100 W. University Ave.	Wichita	KS	67213	-97.366666	37.678495										
Corpus Christi Beauty Academy	5858 S Padre Island Dr # 82	Corpus Christi	TX	78412	-97.36552	27.705725										
Mid-America Technology Center	27438 State Hwy 59	Wayne	OK	73095	-97.364174	34.912498										
Southern Careers Institute-Corpus Christi	2422 Airline Road	Corpus Christi	TX	78414	-97.363145	27.68504										
Brite Divinity School	2800 S. University Dr.	Fort Worth	TX	76129	-97.361561	32.709543										
Paul Mitchell the School-Wichita	3242 N. Rock Road Suite 106	Wichita	KS	67226	-97.354568	37.648805										
Temple College	2600 S 1st St	Temple	TX	76504	-97.351031	31.070607										
Bethel College-North Newton	300 E 27th St	North Newton	KS	67117	-97.342572	38.07525										
Texas A & M University-Corpus Christi	6300 Ocean Dr.	Corpus Christi	TX	78412	-97.331933	27.718601										
Southwestern Adventist University	100 W Hillcrest	Keene	TX	76059	-97.328511	32.397136										
Tarrant County College District	1500 Houston St	Fort Worth	TX	76102	-97.327948	32.747501										
Old Town Barber College-Wichita	1211 E Douglas	Wichita	KS	67211	-97.323367	37.6858										
Mayville State University	330 Third Street NE	Mayville	ND	58257	-97.322545	47.504671										
Everest College-Fort Worth South	La Gran Plaza 4200 S FWYSte 4200	Ft Worth	TX	76115	-97.322091	32.68499										
Westwood College-Ft Worth	4232 North Freeway	Fort Worth	TX	76137	-97.312745	32.816746										
The College of Health Care Professions-Fort Worth	4248 North Freeway	Fort Worth	TX	76137	-97.312432	32.819049										
Everest College-Fort Worth	5237 N Riverside Dr Ste 100	Fort Worth	TX	76137	-97.30126	32.838197										
Northern Oklahoma College	1220 E Grand Ave	Tonkawa	OK	74653	-97.297487	36.678762										
Wichita State University	1845 N. Fairmount	Wichita	KS	67260	-97.296733	37.716484										
Texas Wesleyan University	1201 Wesleyan St	Fort Worth	TX	76105	-97.279631	32.733314										
Eastern Oklahoma County Technology Center	4601 N Choctaw Rd	Choctaw	OK	73020	-97.266991	35.516891										
Texas Beauty College	3534 Denton Hwy	Haltom City	TX	76117	-97.264453	32.815352										
Langston University	102 Page Hall	Langston	OK	73050	-97.260263	35.943953										
National American University-Wichita	7309 East 21st Street North Suite G-40	Wichita	KS	67206	-97.251731	37.722498										
Heritage College-Wichita	2800 S Rock Rd	Wichita	KS	67210	-97.243501	37.643349										
Vatterott College-Wichita	8853 E. 37th Street N.	Wichita	KS	67226	-97.23471	37.751729										
Wichita Area Technical College	4004 N Webb Rd. Bldg 100	Wichita	KS	67226	-97.221861	37.75892										
Remington College-Fort Worth Campus	300 E. Loop 820	Fort Worth	TX	76112	-97.213562	32.775981										
Ogle School Hair Skin Nails-Hurst	720-B Arcadia Street	Hurst	TX	76053	-97.201543	32.821696										
Tabor College	400 S Jefferson	Hillsboro	KS	67063	-97.20096	38.348606										
McLennan Community College	1400 College Dr	Waco	TX	76708	-97.17287	31.590003										
DuVall's School of Cosmetology	201 Harwood Rd Ste 218	Bedford	TX	76021	-97.168349	32.850675										
North Central Texas College	1525 W California Street	Gainesville	TX	76240	-97.165273	33.618269										
Arlington Baptist College	3001 W Division	Arlington	TX	76012	-97.155661	32.739543										
University of North Texas	1501 W.Chestnut Ave.	Denton	TX	76203	-97.151211	33.210958										
Texas Woman's University	304 Administration Dr	Denton	TX	76201	-97.129088	33.227002										
Brown Mackie College-Dallas	2200 Hwy 121 Ste 270	Bedford	TX	76021	-97.119807	32.839142										
Baylor University	500 Speight Ave.	Waco	TX	76798	-97.119359	31.545956										
The University of Texas at Arlington	701 S. Nedderman Dr.	Arlington	TX	76013	-97.115087	32.728437										
Ogle School Hair Skin Nails-Denton	2324 San Jacinto Boulevard	Denton	TX	76205	-97.113221	33.19227										
Dakota State University	820 N Washington Ave	Madison	SD	57042	-97.109609	44.0127										
Meridian Technology Center	1312 S Sangre Rd	Stillwater	OK	74074	-97.108414	36.106981										
ITT Technical Institute-Arlington	551 Ryan Plaza Dr	Arlington	TX	76011	-97.106932	32.760196										
CCI Training Center-Arlington	770 E. Road To Six Flags # 140	Arlington	TX	76011	-97.100336	32.75582										
Messenger College	400 S Industrial Blvd	Euless	TX	76040	-97.100191	32.8313										
Lake Area Technical Institute	1201 Arrow Avenue	Watertown	SD	57201	-97.095292	44.901148										
Pioneer Technology Center	2101 N Ash	Ponca City	OK	74601	-97.093516	36.72772										
Hill College	112 Lamar Dr	Hillsboro	TX	76645	-97.086255	32.012892										
Texas State Technical College-System	3801 Campus Dr	Waco	TX	76705	-97.083512	31.637398										
Southern Oklahoma Technology Center	2610 Sam Noble Parkway	Ardmore	OK	73401	-97.083164	34.185397										
Ponca City Beauty College	122 N First St	Ponca City	OK	74601	-97.076898	36.703852										
Everest College-Arlington	300 Six Flags Drive	Arlington	TX	76011	-97.067911	32.74435										
American Broadcasting School-Arlington	712 N Watson Road	Arlington	TX	76011	-97.061973	32.753208										
Sisseton Wahpeton College	BIA Rd 700	Sisseton	SD	57262	-97.060835	45.562731										
Lincoln College of Technology-Grand Prairie	2915 Alouette Drive	Grand Prairie	TX	75052	-97.056391	32.701684										
Arlington Career Institute	901 Ave K	Grand Prairie	TX	75050	-97.052772	32.77244										
Concorde Career College-Grand Prairie	305 W. Interstate 20	Grand Prairie	TX	75052	-97.05273	32.676584										
Josef's School of Hair Design Inc-Grand Forks	2011 S Washington St	Grand Forks	ND	58201	-97.044288	47.900469										
M T Training Center	1801 S. Great Southwest Parkway	Grand Prairie	TX	75150	-97.042611	32.71991										
Cowley County Community College	125 S 2nd St	Arkansas City	KS	67005	-97.041936	37.061918										
Cosmetology Schools Inc	1684 Cimmaron Plz	Stillwater	OK	74075	-97.04019	36.133143										
Wayne State College	1111 Main St	Wayne	NE	68787	-97.014241	42.241612										
Universal Technical Institute - Dallas Fort Worth	5151 Regent Blvd.	Irving	TX	75063	-97.012741	32.93806										
The Salon Professional Academy-Lewisville	2440 B Stemmons Fwy	Lewisville	TX	75067	-97.00824	33.046421										
Fortis Institute-Grand Prairie	401 E Palace Pkwy Ste 100	Grand Prairie	TX	75050	-97.005121	32.76093										
Tint School of Makeup and Cosmetology-Grand Prairie	311-A East Highway 303	Grand Prairie	TX	75051	-97.000845	32.708639										
Advanced Beauty College	3959 N. Beltline Rd.	Irving	TX	75038	-96.992096	32.860038										
Manuel and Theresa's School of Hair Design-Victoria	1405 East North	Victoria	TX	77902	-96.991738	28.800255										
Anthem College-Irving	4250 N Beltline Road	Irving	TX	75038	-96.991122	32.870783										
Victoria Beauty College Inc	1508 N Laurent St	Victoria	TX	77901	-96.990829	28.80744										
Texas Vocational Schools Inc	1921 E Red River	Victoria	TX	77901	-96.985036	28.813791										
Tint School of Makeup and Cosmetology-Irving	2716 W. Irving Blvd	Irving	TX	75061	-96.98076	32.829662										
Victoria College	2200 E Red River	Victoria	TX	77901	-96.979234	28.816451										
Southwestern College	100 College Street	Winfield	KS	67156	-96.9783	37.2493										
University of Houston-Victoria	3007 N. Ben Wilson	Victoria	TX	77901	-96.978193	28.816438										
National American University-Lewisville	475 State Highway 121 By-pass	Lewisville	TX	75067	-96.978131	32.99225										
North Lake College	5001 North MacArthur Blvd.	Irving	TX	75038	-96.967106	32.871878										
Northwood University-Texas	1114 W FM 1382	Cedar Hill	TX	75104	-96.967103	32.607123										
Saint Gregory's University	1900 W MacArthur	Shawnee	OK	74804	-96.954186	35.367401										
Doane College-Crete	1014 Boswell Avenue	Crete	NE	68333	-96.949656	40.623107										
Dallas Baptist University	3000 Mountain Creek Parkway	Dallas	TX	75211	-96.947006	32.710017										
Aviation Institute of Maintenance-Dallas	400 E Airport Freeway	Irving	TX	75061	-96.941501	32.8357										
Oklahoma Baptist University	500 W University	Shawnee	OK	74804	-96.934334	35.359949										
University of South Dakota	414 E Clark St	Vermillion	SD	57069	-96.924664	42.784558										
Shawnee Beauty College	410 E Main St	Shawnee	OK	74801	-96.918058	35.32765										
Institute of Hair Design	1601 1/2 N Harrison	Shawnee	OK	74804	-96.913355	35.34912										
Gordon Cooper Technology Center	1 John C Bruton Blvd	Shawnee	OK	74804	-96.908013	35.380321										
Mountain View College	4849 West Illinois Ave.	Dallas	TX	75211	-96.903798	32.726573										
Family of Faith College	30 Kinville	Shawnee	OK	74802	-96.90224	35.46199										
ATI Career Training Center-Dallas	10003 Technology Blvd. West	Dallas	TX	75220	-96.898111	32.857104										
Parker University	2540 Walnut Hill Lane	Dallas	TX	75229	-96.893572	32.880341										
Dallas Christian College	2700 Christian Pkwy.	Dallas	TX	75234	-96.887124	32.913698										
Butler Community College	901 S Haverhill Rd	El Dorado	KS	67042	-96.882718	37.806377										
MJ's Beauty Academy Inc	3662 W Camp Wisdom Rd	Dallas	TX	75237	-96.879361	32.661971										
Platt College-Dallas	2974 LBJ Freeway	Dallas	TX	75234	-96.878983	32.910159										
ITT Technical Institute-DeSoto	921 W Belt Line Rd Ste 181	DeSoto	TX	75115	-96.878011	32.59176										
PCI Health Training Center	8101 John Carpenter Fwy	Dallas	TX	75247	-96.876324	32.820076										
West Coast University-Dallas	8435 North Stemmons Freeway	Dallas	TX	75247	-96.873971	32.82734										
Tint School of Makeup and Cosmetology-Dallas	10909 Webb Chapel Rd	Dallas	TX	75229	-96.871882	32.897238										
Cannon Institute of Higher Learning	8500 N Stemmons Frwy Ste 3030	Dallas	TX	75247	-96.871531	32.828										
Le Cordon Bleu College of Culinary Arts-Dallas	11830 Webb Chapel Road	Dallas	TX	75234	-96.87129	32.91172										
Josef's School of Hair Design Inc-Fargo West	4501 15th Avenue SW	Fargo	ND	58103	-96.863414	46.85887										
The Salon Professional Academy-Fargo	4377 15th Ave South	Fargo	ND	58103	-96.858729	46.859013										
ATI Career Training Center-Dallas	2998 Stemmons Freeway	Dallas	TX	75247	-96.855902	32.812571										
Toni & Guy Hairdressing Academy-Carrollton	2810 E Trinity Mills Rd Ste 145	Carrollton	TX	75006	-96.853265	32.985382										
Southwestern Assemblies of God University	1200 Sycamore	Waxahachie	TX	75165	-96.85315	32.405477										
Brookhaven College	3939 Valley View Ln	Farmers Branch	TX	75244	-96.85016	32.928237										
Rasmussen College-North Dakota	4012 19th Avenue SW	Fargo	ND	58103	-96.848715	46.848362										
Cosmetology Career Center LLC	2389 A Midway Road	Carrollton	TX	75006	-96.843526	32.973328										
KD College Conservatory of Film and Dramatic Arts	2600 Stemmons Fwy Ste 117	Dallas	TX	75207	-96.840687	32.808104										
Neilson Beauty College	416 W Jefferson Blvd	Dallas	TX	75208	-96.829149	32.742919										
PCCenter	1229 E Pleasant Run Ste 302	DeSoto	TX	75115	-96.827185	32.605705										
Lynnes Welding Training	2717 3rd Ave N	Fargo	ND	58102	-96.823491	46.87988										
Dallas County Community College District	1601 South Lamar	Dallas	TX	75215	-96.80621	32.780391										
El Centro College	801 Main Street	Dallas	TX	75202	-96.805361	32.779817										
Ogle School Hair Skin Nails-North Dallas	17174 Preston Road	Dallas	TX	75248	-96.804009	32.984647										
University of North Texas System	1901 Main Street	Dallas	TX	75201	-96.794931	32.781634										
Moler Barber College	16 S Eighth St	Fargo	ND	58103	-96.790826	46.873965										
Josef's School of Hair Design Inc-Fargo Downtown	627 Northern Pacific Avenue	Fargo	ND	58102	-96.789209	46.876136										
Globe University-Sioux Falls	5101 S Broadband Ln	Sioux Falls	SD	57108	-96.786599	43.498932										
Southern Methodist University	6425 Boaz St	Dallas	TX	75275	-96.784855	32.845254										
South Dakota State University	Administration Lane	Brookings	SD	57007	-96.783415	44.31942										
Southeast Technical Institute	2320 N Career Ave	Sioux Falls	SD	57107	-96.780241	43.570446										
Dallas Theological Seminary	3909 Swiss Ave	Dallas	TX	75204	-96.779957	32.7943										
Criswell College	4010 Gaston Avenue	Dallas	TX	75246	-96.778071	32.79369										
Everest College-Dallas	6080 North Central Expressway	Dallas	TX	75206	-96.774825	32.840012										
Colorado Technical University-Sioux Falls	3901 W 59th St	Sioux Falls	SD	57108	-96.77356	43.496937										
Lawyer's Assistant School of Dallas	8150 North Central Expressway M2240	Dallas	TX	75206	-96.769071	32.86178										
National American University-Richardson	300 North Coit Road Suite 225	Richardson	TX	75080	-96.768201	32.95518										
Concordia College at Moorhead	901 S 8th St	Moorhead	MN	56562	-96.765567	46.859423										
Cedar Valley College	3030 North Dallas Ave	Lancaster	TX	75134	-96.763421	32.625686										
Minnesota State University-Moorhead	1104 7th Ave S	Moorhead	MN	56563	-96.763376	46.866482										
ITT Technical Institute-Richardson	2101 Waterview Pky	Richardson	TX	75080	-96.757217	32.979759										
Paul Quinn College	3837 Simpson Stuart Rd	Dallas	TX	75241	-96.755864	32.677195										
The University of Texas at Dallas	800 West Campbell  Road	Richardson	TX	75080	-96.748371	32.989432										
Stewart School	604 N. West Ave.	Sioux Falls	SD	57104	-96.746095	43.555418										
Sanford Medical Center	1305 W. 18th Street	Sioux Falls	SD	57117	-96.743144	43.536408										
Sioux Falls Seminary	2100 S Summit Ave	Sioux Falls	SD	57105	-96.742135	43.53236										
Concorde Career Institute-Dallas	12606 Greenville Ave Ste 130	Dallas	TX	75243	-96.741711	32.91856										
Utah College of Massage Therapy-Dallas	1055 S. Sherman Street	Richardson	TX	75801	-96.741024	32.937984										
Augustana College	2001 S Summit Ave	Sioux Falls	SD	57197	-96.738507	43.525939										
University of Sioux Falls	1101 W 22nd St	Sioux Falls	SD	57105	-96.738229	43.531574										
Dallas Barber & Stylist College	9357 Forest Lane	Dallas	TX	75243	-96.737017	32.909897										
Dallas Nursing Institute	12170 N. Abrams Road Suite 200	Dallas	TX	75243	-96.734878	32.9138										
Cutter's Edge School of Cosmetology	2330 E Main St	Cushing	OK	74023	-96.734872	35.986857										
Richland College	12800 Abrams Rd.	Dallas	TX	75243	-96.730505	32.922141										
Kilian Community College	300 E. 6th Street	Sioux Falls	SD	57103	-96.72672	43.548989										
Minnesota School of Business-Moorhead	2777 34th Street South	Moorhead	MN	56560	-96.72303	46.848594										
National American University-Sioux Falls	5801 South Corporate Place	Sioux Falls	SD	57108	-96.71729	43.4884										
Regency Beauty Institute-Plano	1017 North Central Expressway	Plano	TX	75075	-96.708925	33.01558										
College of Hair Design-Downtown	304 S Eleventh St	Lincoln	NE	68508	-96.705118	40.811227										
Seminole State College	2701 Boren Blvd	Seminole	OK	74868	-96.704002	35.248989										
University of Nebraska-Lincoln	14th and R St	Lincoln	NE	68588	-96.702177	40.822272										
Kaplan University-Lincoln Campus	1821 K St	Lincoln	NE	68508	-96.694181	40.808915										
Joseph's College	5801 O Street	Lincoln	NE	68510	-96.688545	40.813464										
ABC Beauty Academy	1841 N Jupiter Rd Ste 120	Garland	TX	75042	-96.684271	32.92981										
Dallas Institute of Funeral Service	3909 S Buckner Blvd	Dallas	TX	75227	-96.683412	32.771374										
Pontotoc Technology Center	601 W 33rd	Ada	OK	74820	-96.681819	34.751856										
Murray State College	One Murray Campus	Tishomingo	OK	73460	-96.677906	34.222949										
University of Nebraska-Central Administration System Office	3835 Holdrege St	Lincoln	NE	68583	-96.665203	40.827494										
Ronny J's Barber Styling	443 Bruton Terrace Center	Dallas	TX	75217	-96.664417	32.75082										
East Central University	1100 E. 14th Street	Ada	OK	74820	-96.664196	34.773805										
Eastfield College	3737 Motley Dr	Mesquite	TX	75150	-96.65947	32.815679										
Remington College-Dallas Campus	1800 Eastgate Dr	Garland	TX	75041	-96.654112	32.8606										
Amberton University	1700 Eastgate Dr	Garland	TX	75041	-96.653028	32.859937										
Bryan College of Health Sciences	5035 Everett	Lincoln	NE	68506	-96.651532	40.796768										
Union College	3800 S 48th Street	Lincoln	NE	68506	-96.651095	40.774778										
Doane College-Lincoln Grand Island and Master	303 N 52nd St	Lincoln	NE	68504	-96.650758	40.815541										
Nebraska Wesleyan University	5000 St Paul Ave	Lincoln	NE	68504	-96.648414	40.838789										
International Beauty College	1225 Beltline Rd Ste 7	Garland	TX	75040	-96.645646	32.94581										
Collin County Community College District	3452 Spur 399	McKinney	TX	75069	-96.63894	33.16241										
Grayson College	6101 Grayson Drive	Denison	TX	75020	-96.633557	33.706482										
National Beauty College	354 E I 30 Suite A	Garland	TX	75043	-96.632034	32.880549										
Southeast Community College Area	301 South 68th Street Place	Lincoln	NE	68510	-96.62818	40.81079										
Carrington College-Mesquite	3733 West Emporium Circle	Mesquite	TX	75150	-96.626121	32.81582										
National American University-Mesquite	18600 LBJ Freeway	Mesquite	TX	75150	-96.626057	32.803727										
Myotherapy Institute	4001 Pioneer Woods Drive	Lincoln	NE	68506	-96.623311	40.77227										
Manhattan Area Technical College	3136 Dickens Ave	Manhattan	KS	66503	-96.615672	39.197774										
University of Minnesota-Crookston	2900 University Ave	Crookston	MN	56716	-96.609863	47.802021										
Bellus Academy	1130 Westloop Place	Manhattan	KS	66502	-96.609538	39.191162										
North Dakota State College of Science	800 N 6th St	Wahpeton	ND	58076	-96.607896	46.275964										
Hands on Therapy	1804 N Galloway Ave	Mesquite	TX	75149	-96.606185	32.78877										
Diamonds Cosmetology College	1950 North Grand Avenue	Sherman	TX	75090	-96.602559	33.656417										
Metroplex Beauty School	519 N Galloway	Mesquite	TX	75149	-96.599222	32.771826										
Austin College	900 N Grand Ave	Sherman	TX	75090	-96.598772	33.646307										
College of Hair Design-East Campus	9000 Andermatt Dr	Lincoln	NE	68526	-96.597358	40.734543										
Central Technology Center	3 CT Circle	Drumright	OK	74030	-96.585322	35.994261										
Kansas State University	Anderson Hall	Manhattan	KS	66506	-96.581077	39.188616										
Manhattan Christian College	1415 Anderson Ave	Manhattan	KS	66502	-96.579018	39.185764										
Marinello Schools of Beauty-Manhattan	512 Poyntz Ave	Manhattan	KS	66502	-96.563855	39.179536										
Navarro College	3200 W 7th Avenue	Corsicana	TX	75110	-96.498738	32.076066										
Midland University	900 N. Clarkson	Fremont	NE	68025	-96.488354	41.43675										
La'James International College	1660 N Grant	Fremont	NE	68025	-96.482042	41.44576										
Little Priest Tribal College	610 E. College Drive	Winnebago	NE	68071	-96.470766	42.232399										
Briar Cliff University	3303 Rebecca Street	Sioux City	IA	51104	-96.42696	42.526919										
Blinn College	902 College Ave	Brenham	TX	77833	-96.409677	30.159713										
Kiamichi Technology Center-Durant	810 Waldron Rd	Durant	OK	74701	-96.406143	33.945957										
St Luke's College	2720 Stone Park Blvd	Sioux City	IA	51104	-96.404922	42.517806										
Southern School of Beauty Inc	140 W Main St	Durant	OK	74701	-96.376955	33.991145										
Southeastern Oklahoma State University	1405 N 4th Ave	Durant	OK	74701	-96.376381	34.00361										
Manuel and Theresa's School of Hair Design-Bryan	220 N Main St	Bryan	TX	77803	-96.373463	30.675408										
